	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-BA-A6DD	0.140966412436543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.799367496300361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-RS-A6TP	0.0679365869309534	0.382560221474414	0	0	0	0	0.0607168520895647	0	0	0	0	0	0.406169004004389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-UF-A7JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673863218986985	0	0	0	0	0	0	0	0	0	0	0	0	0.188543000034595	0
TCGA-BB-4224	0.156742041608915	0.174714513490075	0	0	0	0	0	0	0	0.118889247910141	0	0	0.319644134139291	0	0	0.0752475955572002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CQ-5332	0.161428509538165	0.109068071458819	0.0659457877615142	0	0.144547468253849	0	0	0.108679759628989	0	0	0	0	0.0799304691490149	0	0	0.0612928791176447	0	0.0605283480183356	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HD-A4C1	0.101974816944895	0.293939733891778	0	0	0	0	0	0.143950040257702	0	0	0.0948273074876746	0	0.223808688390238	0	0	0	0	0	0	0	0.141499395851149	0	0	0	0	0	0	0	0	0
TCGA-MT-A67G	0.662648244496509	0.28643773521404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6961	0	0.47661654788957	0	0	0	0	0	0	0	0	0	0	0.430450550628185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BB-4225	0.528252514315553	0.383963492611571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HD-8634	0.14114204054099	0.167932651606863	0.177505589135075	0	0	0	0.114488313860393	0	0	0.0868524333101484	0	0	0.0791274842329183	0.0937126551886968	0	0	0	0	0	0	0	0	0	0	0	0.108675853659619	0	0	0	0
TCGA-TN-A7HL	0	0.550404308216657	0	0	0	0	0	0	0	0	0	0	0.374667587437275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-QK-A6VB	0	0	0	0	0	0	0	0	0	0	0	0.152774692272743	0	0.314380725794747	0	0	0	0	0	0.385605746745788	0	0	0	0	0	0	0	0	0	0
TCGA-BA-A6DL	0.0663573770455115	0.0914134913276831	0.10030383568413	0	0	0	0	0.0988994410298059	0	0.105274965754058	0	0	0.102420852206617	0	0	0.0637179654596042	0	0	0	0	0	0.065948305493508	0	0	0	0.172274086910656	0	0	0	0
TCGA-UF-A7JC	0	0.0639863923570064	0	0	0	0	0	0	0	0	0	0	0	0.0789696144011503	0	0.841213385794603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7414	0.0871868211975024	0.197070608237537	0	0	0	0	0	0	0	0	0	0	0.431015710024108	0	0	0.248263295991359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-F7-A624	0	0	0	0	0	0.0635014007664757	0	0	0	0	0	0.124754327930305	0	0	0	0	0	0	0	0	0.493134868129231	0	0	0	0	0.245498719571842	0	0	0	0
TCGA-CR-7388	0	0.186791981904461	0.215761035123091	0.203543158129934	0	0	0	0	0	0	0	0	0.18492192909403	0	0	0	0	0	0	0	0	0	0	0.0759703002680364	0	0.062674987469927	0	0	0	0
TCGA-IQ-7630	0.437861038092356	0.110082410072551	0	0	0	0	0	0	0	0	0	0	0.141401626386774	0	0	0.0859203563605658	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182510047508066
TCGA-UF-A7J9	0	0.0985490055011009	0.098432846842298	0	0	0	0	0	0	0	0.0796735267084482	0	0.22707611398187	0	0	0.219710797832514	0	0	0	0	0	0	0	0	0	0	0	0	0.0891068408832348	0
TCGA-P3-A6T0	0.345113927522163	0	0	0	0	0	0	0.0953806939500372	0	0	0.0950254199342048	0	0.0874316997367007	0	0	0	0	0	0	0	0.1701262035529	0	0	0	0	0	0	0	0	0.107300413677618
TCGA-CR-6474	0	0.0794213046717055	0.131169608705969	0	0	0	0	0	0	0	0	0	0.236415117810258	0	0	0.17915966892532	0	0	0.0826967351082626	0	0	0	0	0	0	0.114730237102726	0	0	0	0
TCGA-UF-A7JD	0.130142493701609	0	0	0	0	0	0	0.102003637232074	0	0.0677557730643393	0	0	0	0	0	0.609821332890712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7255	0.116853795280996	0.106805102412271	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320094963337035	0	0	0.109938785181872	0	0	0	0	0	0	0.0610706872269152	0	0	0	0
TCGA-F7-A50G	0.367022707738406	0	0.133513917800135	0	0	0	0	0	0	0.0747102892930839	0	0	0.305521008644792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7095	0.149776330666629	0.220000871572197	0.284859978368098	0	0	0	0	0	0	0	0	0	0.286036910131731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-A6V3	0	0	0	0.410372520471714	0	0	0	0	0	0	0	0	0	0	0	0.322030012560049	0	0	0	0	0	0	0	0	0	0.0999656226616675	0	0	0	0
TCGA-TN-A7HI	0.333132116860549	0.180263594351783	0	0	0	0	0	0	0	0	0	0	0	0	0.106620930394819	0	0	0.167732698988229	0	0	0	0	0	0	0	0	0	0	0	0.193314383577621
TCGA-CR-7386	0	0.298454930151413	0	0	0	0	0	0	0	0	0	0	0.559484290893454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-A4II	0	0.0970551462788858	0	0	0.411905368680187	0	0	0	0	0.0832925768491246	0	0	0.0679822991583406	0	0	0.152865546599277	0	0.0799990787366693	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6934	0.133768689802018	0	0	0	0	0	0	0.0914757154511842	0	0	0	0	0	0	0	0.696328382932756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6935	0	0.156205940533032	0.174961579876156	0.240056984352744	0	0	0	0	0	0	0	0	0.118192889103598	0	0	0	0	0	0	0.0645637706011487	0	0	0	0	0	0	0	0	0.0887576114005466	0
TCGA-UF-A7JH	0.205566173213405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292680389899806	0	0	0.113332693907607	0	0	0	0	0	0	0	0	0	0	0.208823981138756
TCGA-CR-6481	0	0.634857722232784	0	0	0	0	0	0	0	0	0	0	0.31399563895687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CQ-6221	0	0.100613305763197	0.343089275547423	0	0	0	0	0	0	0	0	0	0.391513208310613	0	0	0	0	0	0.071049494548263	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-6487	0.297292227566482	0.273816286687533	0	0	0	0	0	0	0	0	0	0	0.243132804089723	0	0	0	0	0	0	0.0611987018106872	0.103368274682906	0	0	0	0	0	0	0	0	0
TCGA-CV-A6JZ	0	0	0	0	0	0	0	0	0	0.0766241340352042	0.0652235313420721	0	0	0	0	0.480433945079386	0	0	0	0	0	0	0	0	0.122975170311485	0	0	0	0	0
TCGA-CV-7097	0.156855607328805	0	0	0	0	0	0.0948701366679904	0	0	0	0	0	0	0	0	0.60001893769569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-A6V7	0.463405811427493	0.308150438368176	0	0	0	0	0	0	0	0	0	0	0.0864824262792001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-4740	0.147660462951257	0.112665389093485	0	0	0	0	0	0	0	0.0730451126737627	0.0759237439601644	0	0.292972678076755	0	0	0.230912929222069	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6436	0.383355422453578	0.14779758639353	0	0	0	0	0	0	0	0	0	0	0.0620019723411896	0	0	0	0	0	0	0	0.110455000577238	0	0	0	0	0	0	0.0770693201962325	0.0942104083036372	0
TCGA-CV-A45Y	0.154088430003649	0	0.1000479383039	0	0	0	0	0	0	0	0	0	0.424242874313058	0	0	0.223549013549816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-UF-A719	0.124240388998733	0	0	0	0.371466959712839	0	0	0	0	0	0	0	0	0	0	0.311993113926559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-5439	0	0.0726759015843933	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36360213668121	0	0.149754460034931	0	0	0	0.0953318006401462	0.0924679204736883	0.0659795496019709	0	0.0902382405391138	0	0	0	0
TCGA-P3-A5Q5	0.0790258947895317	0.344422765274749	0	0	0	0	0	0	0	0.0636130567189592	0	0	0.450228339252436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7101	0	0.125006544601223	0	0	0	0	0	0	0	0	0.0949953224218765	0	0.0657346987423884	0	0	0.44649878502869	0	0.076573800261832	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-5370	0.176187586443519	0.245830054539157	0	0	0.333520097664714	0	0	0	0	0	0	0	0.158557390295909	0	0	0	0	0	0	0	0	0	0	0	0	0.0630163834810814	0	0	0	0
TCGA-CN-A63Y	0.0867967250613835	0.463820521965071	0	0	0	0	0.102505062104816	0	0	0	0	0	0.331542534401537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-4076	0	0	0.143843671505844	0.339446826758837	0	0	0	0.0837362808151078	0	0	0	0	0	0	0	0.259037338184772	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CQ-6219	0.0767086402677262	0.202223525896391	0	0	0	0	0	0	0	0	0	0	0.215346597390153	0	0	0.50572123644573	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-P3-A6T6	0.0744592550030426	0.235169378807087	0.368412398089709	0	0	0	0	0	0	0	0	0	0.196505801785806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6951	0	0.138355212971738	0	0	0	0	0	0	0	0.087477607522685	0	0	0.173008810194155	0	0	0.389461232899841	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-6491	0.108337136364055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.748615400030873	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HD-7753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97258744291905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-QK-A6IH	0.173459522442447	0	0	0	0.106151605191051	0	0	0	0	0	0	0	0.242606427753444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323524277106095
TCGA-CV-7406	0	0.532456840336971	0.149247675600375	0	0	0	0	0	0	0	0	0	0.147740027488696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-KU-A6H7	0.0625744611801417	0.499525458408267	0	0	0	0	0	0	0	0	0	0	0.374421510892855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-5243	0.405840013554806	0	0.0979158263990988	0	0	0	0.0771316972915826	0	0	0	0	0	0.163964025478201	0	0	0	0	0	0	0	0	0	0	0.120536928723033	0	0	0	0	0	0
TCGA-CQ-5331	0	0.369733679611089	0	0	0	0	0	0.0942889590806867	0	0	0	0	0.486408032306654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-T3-A92N	0.101016838759611	0.321278993684467	0	0	0	0	0	0	0	0	0	0	0	0	0	0.435285133167959	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7238	0.0957848493489885	0.135367718703334	0	0	0.173798834286829	0	0	0	0	0.0832866754432701	0.19680628739182	0	0.123421465936313	0	0	0	0	0	0	0	0.0798623301164265	0	0	0	0	0	0.0602931125426862	0	0	0
TCGA-CQ-A4C6	0.128500191569591	0.154313000949897	0	0	0	0	0.141156248417989	0	0	0	0	0	0.38625332586529	0	0	0.140503556339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-6956	0	0	0.136296924822863	0	0	0	0.140579420682356	0.153738329819867	0	0	0	0	0.139693475074709	0	0	0.158881850620789	0	0	0	0	0	0	0	0	0.105888368254361	0	0	0	0	0
TCGA-CV-A45X	0.0879634477812163	0	0	0	0.482527739620681	0	0	0	0	0	0	0	0.117249204890248	0	0	0	0	0	0	0	0	0	0	0.0795586261349917	0	0	0	0	0	0
TCGA-BA-6870	0	0.152380031774681	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753424254341875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CQ-5325	0	0	0	0	0.222985589044701	0	0	0.135712189265041	0.143729783942232	0.11239590403862	0.0610792548436946	0	0	0	0	0.169681210905119	0	0	0	0	0.0785287928930319	0	0	0	0	0	0	0	0	0
TCGA-BA-6873	0.32945124088619	0.0969267996835644	0	0	0	0	0	0	0	0	0	0	0.130316994473248	0	0	0.228949208463093	0	0	0.179631072522726	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-4739	0.0985614107053233	0	0	0.186207644960109	0	0	0	0.0635024461158958	0	0	0	0	0	0	0	0.284753163208638	0	0	0	0	0	0.10417023293218	0	0	0.111792779507894	0	0	0	0	0
TCGA-CN-A498	0.0792367417756765	0.16020938415986	0	0	0	0	0	0	0	0	0	0	0.134630605189725	0	0	0.50669994742378	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-6872	0	0.133059836037049	0	0	0	0	0	0	0	0	0	0	0.130631836598957	0	0	0.603277992031834	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-5248	0	0.312830168335123	0	0	0	0	0	0	0	0	0	0	0.458579595846061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-6869	0	0	0	0.307041885880632	0	0	0	0.175429594846696	0	0	0	0	0.0763407621151618	0	0	0.279078328775352	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101223022972722
TCGA-D6-6826	0.154960705677374	0.0861564770291946	0.272425307633923	0	0	0	0	0	0	0	0	0	0.291164575442764	0	0.0662987968301557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HD-7754	0.550817229445085	0.0879041121445777	0	0	0	0	0.0906058394970959	0	0	0.0713952926805738	0	0	0	0	0	0.199277526232667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-4735	0	0.336069322493499	0	0	0	0	0	0.234391507591969	0	0	0.0715642199192977	0	0.103128650220381	0	0	0	0	0	0	0	0	0	0	0	0	0.0616156889538649	0	0	0	0
TCGA-HD-8635	0	0.122003253186034	0.281242070330512	0	0.0748128962559906	0	0	0	0	0	0	0	0.218096520970893	0	0	0.130893921093074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-A6DI	0	0.0950029040389164	0	0	0.36272574145625	0	0	0.241954340969006	0	0	0	0	0	0	0	0.0971619744235601	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115243088346517
TCGA-CN-5359	0.0651869163196542	0.0788919533705524	0.202242093861458	0	0	0	0	0	0.0939742134449561	0	0	0	0	0	0	0.253402022250573	0	0.188254933130924	0	0	0	0	0	0	0	0	0	0	0	0
